price_inr,age_yr,mileage_km,transmission,color,engine_cc,seats,tank_size_l
699000,5,30777,Automatic,White,1197,5,32
700000,5,25000,Manual,White,1197,5,37
715000,5,17000,Automatic,Silver,1197,5,37
740000,5,39000,Manual,Silver,1197,5,65
775000,5,39000,Manual,White,1197,5,37
819999,5,30000,Manual,White,1396,5,45
840000,5,7000,Automatic,Maroon,1197,5,37
840000,5,11000,Manual,White,1197,5,37
890000,5,23500,Manual,White,1498,5,50
900000,5,23000,Manual,Brown,998,5,45
950000,5,39000,Automatic,White,1498,5,35
950000,5,55055,Manual,White,1248,5,48
950000,5,57400,Manual,White,1497,5,42
990000,5,24013,Manual,Blue,998,5,45
1025000,5,20124,Manual,Red,999,5,45
1050000,5,16282,Automatic,White,998,5,37
1055000,5,15000,Automatic,Gold,998,5,45
1080000,5,52000,Manual,White,1497,5,42
1080000,5,56000,Manual,Blue,1493,5,45
1090000,5,26200,Automatic,White,998,5,45
1095000,5,43260,Automatic,Red,1197,5,45
1125000,5,46807,Automatic,Red,999,5,55
1130000,5,12905,Manual,White,998,5,37
1190000,5,47248,Automatic,Blue,1462,6,45
1199000,5,26497,Manual,White,1497,5,40
1220000,5,35000,Manual,White,2179,7,60
1275000,5,42000,Manual,Black,1497,5,50
1299000,5,31348,Manual,White,1497,5,42
1300000,5,27000,Manual,Silver,1493,5,50
1400000,5,94182,Automatic,Grey,1968,5,50
1475000,5,78000,Manual,White,2179,7,60
1550000,5,28000,Manual,Black,2184,6,57
1575000,5,63000,Automatic,White,1493,5,50
1598000,5,19700,Manual,Maroon,1493,5,50
1650000,5,7000,Manual,White,1493,5,50
1710000,5,12400,Manual,Grey,1956,5,60
1725000,5,35000,Manual,White,1493,5,50
1729000,5,27000,Automatic,Silver,1451,5,60
1750000,5,14400,Manual,Silver,1956,5,50
1780000,5,65433,Manual,Black,1956,5,60
1835000,5,33828,Automatic,White,1493,5,50
1850000,5,7000,Automatic,Black,1353,5,50
1864999,5,30000,Automatic,Blue,2184,4,57
1875000,5,18000,Automatic,Black,1353,5,50
1900000,5,41736,Automatic,Grey,1956,5,60
1950000,5,28584,Automatic,Black,1451,6,60
1950000,5,45000,Manual,Grey,2393,7,55
1964999,5,26000,Manual,Silver,2694,7,65
1995000,5,8000,Automatic,Black,1956,5,50
2048999,5,45350,Automatic,White,2179,7,70
2145000,5,10290,Manual,Red,1956,5,50
2250000,5,24549,Manual,Grey,2393,7,55
2475000,5,11293,Automatic,White,1956,5,60
2590000,5,36978,Automatic,Blue,1968,5,50
2725000,5,18625,Automatic,Bronze,2393,7,55
2950000,5,10700,Automatic,White,1984,5,55
2950000,5,11000,Automatic,White,1968,5,50
2950000,5,72000,Automatic,White,2199,7,60
2990000,5,17904,Automatic,White,1968,5,71
3050000,5,40910,Automatic,White,1968,5,50
3125000,5,28600,Automatic,White,1798,5,63
3250000,5,32005,Automatic,Blue,1995,5,61
3550000,5,55000,Automatic,Black,2755,7,80
3590000,5,19759,Automatic,Blue,1496,5,44
3675000,5,37180,Automatic,White,1995,5,63
3775000,5,50000,Automatic,White,2755,7,80
3800000,5,20000,Automatic,Black,1996,7,80
3900000,5,13000,Automatic,Black,1998,4,44
4100000,5,12136,Automatic,Blue,1995,5,50
4250000,5,17000,Automatic,White,1395,5,54
4300000,5,11000,Automatic,Blue,1995,5,50
4390000,5,23000,Automatic,White,1995,5,57
4400000,5,16519,Automatic,White,1969,5,54
4475000,5,18000,Automatic,White,1968,5,70
4600000,5,56000,Automatic,Blue,1999,5,66
4749000,5,14000,Automatic,White,1998,5,57
4800000,5,27000,Automatic,Blue,2487,5,50
5200000,5,14000,Automatic,Blue,2487,5,50
5200000,5,18000,Automatic,White,1950,5,80
5250000,5,28079,Automatic,Blue,1950,5,66
5300000,5,36000,Automatic,Grey,1984,5,73
5500000,5,19000,Automatic,Black,1998,5,57
5800000,5,30000,Automatic,Black,1995,5,65
5995000,5,54200,Automatic,White,1999,7,70
6000000,5,2600,Automatic,Blue,1969,5,55
6100000,5,9500,Automatic,Silver,1950,5,80
6300000,5,40000,Automatic,Silver,1950,6,57
6500000,5,6000,Automatic,White,1999,7,70
6500000,5,13000,Automatic,Silver,1950,5,66
6500000,5,21000,Automatic,White,1991,4,59
6800000,5,14500,Automatic,Silver,1950,5,66
6900000,5,32368,Automatic,White,2179,7,65
6975000,5,15200,Automatic,White,1950,5,66
