Depth_m,Temperature_C,Oxygen_ml/l,Salinity_psu
285.5,12.1261,4.9634,35.6949
286.0,12.121,4.95852,35.694
286.5,12.1149,4.95336,35.693
287.0,12.1066,4.9451,35.6916
287.5,12.0987,4.93161,35.6903
288.0,12.0909,4.91851,35.689
288.5,12.0826,4.90905,35.6877
289.0,12.074,4.89999,35.6863
289.5,12.0643,4.89474,35.6849
290.0,12.0539,4.89069,35.6833
290.5,12.0467,4.88716,35.6823
291.0,12.0409,4.8839,35.6813
291.5,12.0373,4.87766,35.6807
292.0,12.0341,4.87315,35.6803
292.5,12.0314,4.86722,35.6798
293.0,12.0287,4.86198,35.6794
293.5,12.0262,4.85915,35.679
294.0,12.0236,4.85682,35.6787
294.5,12.021,4.8536,35.6783
295.0,12.0189,4.8511,35.6781
295.5,12.0168,4.85167,35.6778
296.0,12.0144,4.8532,35.6775
296.5,12.0122,4.85319,35.6772
297.0,12.01,4.85613,35.677
297.5,12.0081,4.85864,35.6768
298.0,12.0061,4.85724,35.6765
298.5,12.0041,4.85506,35.6763
299.0,12.0023,4.85019,35.6761
299.5,12.0008,4.84573,35.6759
300.0,11.9996,4.84567,35.6757
300.5,11.9984,4.84489,35.6755
301.0,11.9974,4.8444,35.6753
301.5,11.9964,4.84859,35.6751
302.0,11.9953,4.84777,35.6749
302.5,11.9939,4.84792,35.6747
303.0,11.9918,4.84807,35.6745
303.5,11.987,4.85293,35.6741
304.0,11.9825,4.85528,35.6736
304.5,11.9794,4.85131,35.6731
305.0,11.9765,4.85052,35.6728
305.5,11.9737,4.84884,35.6723
306.0,11.9708,4.84825,35.6719
306.5,11.9674,4.84849,35.6714
307.0,11.9634,4.84785,35.6708
307.5,11.9589,4.84477,35.6703
308.0,11.9541,4.84024,35.6697
308.5,11.9494,4.83532,35.6692
309.0,11.9456,4.82995,35.6687
309.5,11.9421,4.82654,35.6682
310.0,11.9384,4.82541,35.6678
310.5,11.9345,4.82881,35.6674
311.0,11.9302,4.82905,35.667
311.5,11.9271,4.82575,35.6667
312.0,11.9245,4.82039,35.6664
312.5,11.9223,4.8172,35.6662
313.0,11.9202,4.81742,35.6659
313.5,11.918,4.81756,35.6657
314.0,11.9157,4.82,35.6655
314.5,11.9134,4.81961,35.6652
315.0,11.9105,4.81956,35.665
315.5,11.9073,4.81866,35.6647
316.0,11.9041,4.81805,35.6644
316.5,11.9007,4.81365,35.6641
317.0,11.8972,4.81165,35.6638
317.5,11.894,4.80989,35.6635
318.0,11.8904,4.8098,35.6632
318.5,11.8864,4.80833,35.6629
319.0,11.8828,4.80508,35.6627
319.5,11.8805,4.80177,35.6627
320.0,11.8793,4.80044,35.663
320.5,11.8791,4.79821,35.6635
321.0,11.8798,4.79405,35.6641
321.5,11.8813,4.79142,35.6649
322.0,11.8834,4.78927,35.6658
322.5,11.8858,4.7866,35.6669
323.0,11.8888,4.7839,35.6679
323.5,11.8925,4.78177,35.6693
324.0,11.8974,4.77957,35.6711
324.5,11.9033,4.77471,35.6733
325.0,11.9085,4.77053,35.6752
325.5,11.9129,4.76493,35.6768
326.0,11.9159,4.75928,35.6779
326.5,11.9181,4.76,35.6787
327.0,11.9196,4.75572,35.6793
327.5,11.9206,4.75157,35.6797
328.0,11.9212,4.74851,35.68
328.5,11.9216,4.74266,35.6803
329.0,11.9218,4.74145,35.6805
329.5,11.9218,4.73808,35.6807
330.0,11.9216,4.73939,35.6809
330.5,11.9209,4.74301,35.6812
331.0,11.9196,4.74265,35.6811
